parent,child,lambda_val,child_size
500,501,1.001303577407292,357
500,502,1.001303577407292,143
501,45,1.0202420269618626,1
502,503,1.527092251696906,10
502,504,1.527092251696906,133
501,30,1.2610892846856305,1
503,471,4.466343234829381,1
504,163,1.7852358839587625,1
501,437,1.4568051650592144,1
501,365,1.4568051650592144,1
503,459,5.6479520255049,1
504,404,2.555858504850646,1
501,505,1.4619889301291737,5
501,506,1.4619889301291737,348
503,455,5.728366187338797,1
504,171,2.5796727460075153,1
505,363,13.781498344726156,1
505,338,13.781498344726156,1
505,327,13.781498344726156,1
505,337,13.781498344726156,1
505,336,13.781498344726156,1
506,137,1.6469290347436099,1
503,451,6.7671758848252965,1
504,362,2.602267667537119,1
506,370,1.8366672119533791,1
503,468,7.303921837060132,1
504,507,2.68631433470199,14
504,508,2.68631433470199,115
506,353,1.9246148969411472,1
503,454,7.303921837060132,1
503,463,7.303921837060132,1
503,453,7.303921837060132,1
503,458,7.303921837060132,1
503,461,7.303921837060132,1
507,29,3.743600109142548,1
508,284,2.68631433470199,1
506,509,2.125039106278191,335
506,510,2.125039106278191,10
507,236,4.478565297172744,1
508,297,2.8464014985738673,1
509,273,2.125039106278191,1
510,367,2.2757603221881033,1
507,48,4.483817721904023,1
508,511,2.9283289367602263,74
508,512,2.9283289367602263,39
509,439,2.1683718370132654,1
510,268,2.43223458750563,1
507,446,4.555883456836002,1
511,402,2.9829029102270126,1
512,293,3.1839863520060194,1
509,0,2.181618991315977,1
510,442,2.5209635021641765,1
507,460,5.205833175975489,1
511,11,3.00888509653161,1
511,351,3.00888509653161,1
512,323,4.337613329670675,1
509,329,2.2142847760864792,1
510,68,2.7794118293892236,1
507,355,5.205833175975489,1
511,421,3.0474494803491927,1
512,312,4.359495965426824,1
509,366,2.2684447482056904,1
510,71,3.1604303564710996,1
507,33,5.406283125423483,1
511,513,3.0896123934772275,19
511,514,3.0896123934772275,51
512,515,4.440050936876127,13
512,516,4.440050936876127,23
509,339,2.305196034170695,1
510,405,3.2103648241583143,1
510,271,3.2103648241583143,1
510,352,3.2103648241583143,1
510,261,3.2103648241583143,1
510,291,3.2103648241583143,1
507,28,7.592885869507089,1
513,517,3.5437955646317474,7
513,518,3.5437955646317474,12
514,473,3.17361381827541,1
515,316,4.440050936876127,1
516,310,4.904628289375415,1
509,159,2.316364288675483,1
507,49,7.697016001669475,1
517,200,5.510200914464223,1
518,419,4.174220265097462,1
514,196,3.3031189487629904,1
515,324,4.686009310178395,1
516,289,5.204268120003752,1
509,73,2.3164733809821576,1
507,38,9.58519005941909,1
507,31,9.58519005941909,1
507,44,9.58519005941909,1
507,26,9.58519005941909,1
507,172,9.58519005941909,1
517,305,6.808412819821701,1
518,411,4.2377278975337385,1
514,519,3.459499328909575,39
514,520,3.459499328909575,10
515,311,4.706722279185426,1
516,288,5.633000600350496,1
509,130,2.3189710832409003,1
517,306,7.306966209169939,1
517,314,7.306966209169939,1
517,222,7.306966209169939,1
517,201,7.306966209169939,1
517,212,7.306966209169939,1
518,423,5.402770999666127,1
518,410,5.402770999666127,1
519,218,3.50259192273738,1
520,308,3.998319468682392,1
515,283,5.082017938152304,1
516,521,5.813505581921761,11
516,522,5.813505581921761,9
509,164,2.321078927441854,1
518,210,6.138945345180482,1
519,156,3.6067244629357855,1
520,214,4.993674289325922,1
515,27,5.106279615599693,1
521,313,6.1235408156174715,1
522,275,6.871993257149735,1
522,322,6.871993257149735,1
522,279,6.871993257149735,1
522,276,6.871993257149735,1
509,34,2.3631283761355553,1
518,207,6.850727894365876,1
519,408,3.6706718686745354,1
520,209,5.760428779321187,1
515,307,7.313045779740003,1
521,280,6.1235408156174715,1
522,462,7.300929317900527,1
522,277,7.300929317900527,1
522,282,7.300929317900527,1
522,298,7.300929317900527,1
