parent,child,lambda_val,child_size
500,206,1.3574199101822977,1
500,501,1.4036972059738797,97
500,502,1.4036972059738797,402
501,42,1.5937771299542154,1
502,32,1.6124158316515342,1
501,152,1.6811512713872847,1
502,47,1.6141926868903052,1
501,503,1.683910145686781,25
501,504,1.683910145686781,70
502,505,1.6425359786533877,6
502,506,1.6425359786533877,394
503,221,1.8064689366191597,1
504,223,1.934799242855152,1
505,335,5.006734934345104,1
506,435,1.731979518601228,1
503,171,1.8540086341205502,1
504,507,2.1899616972380977,28
504,508,2.1899616972380977,41
505,363,8.59045877325279,1
505,327,8.59045877325279,1
505,337,8.59045877325279,1
505,338,8.59045877325279,1
505,336,8.59045877325279,1
506,495,1.7478287449387726,1
503,156,4.52051015312573,1
507,369,2.1899616972380977,1
508,358,2.2598659153017957,1
506,190,1.8159578237714487,1
503,509,4.586581232650808,14
503,510,4.586581232650808,8
507,511,3.081007960333768,8
507,512,3.081007960333768,19
508,329,2.644823142354989,1
506,121,1.836854609358416,1
509,160,4.820139309628637,1
510,243,4.586581232650808,1
511,211,5.641735652690226,1
512,162,3.120268446737919,1
508,513,3.0425133152768136,11
508,514,3.0425133152768136,28
506,390,1.86354099193872,1
509,431,4.974179270191539,1
510,245,4.607279430506762,1
511,438,11.975563939817647,1
512,35,3.627718642201889,1
513,166,4.6872602455926335,1
514,515,3.1537167912482222,10
514,516,3.1537167912482222,18
506,22,1.9499135544375024,1
509,159,5.1188390455570705,1
510,228,4.845170942148985,1
511,168,12.309584938132211,1
512,0,4.884481850087907,1
513,167,5.135220648712336,1
515,247,4.678446456584025,1
516,227,3.17881150768442,1
506,480,1.9950952646276756,1
509,151,5.6737796694172244,1
510,145,6.0870162708983555,1
510,234,6.0870162708983555,1
510,231,6.0870162708983555,1
510,464,6.0870162708983555,1
510,318,6.0870162708983555,1
511,447,13.068622885455254,1
511,439,13.068622885455254,1
511,440,13.068622885455254,1
511,326,13.068622885455254,1
511,356,13.068622885455254,1
512,429,4.927123494439683,1
513,164,6.895042006722088,1
515,233,4.722182649896247,1
516,244,3.201482206787984,1
516,137,3.201482206787984,1
516,144,3.201482206787984,1
516,361,3.201482206787984,1
506,126,2.022260675728036,1
509,41,5.965627475665355,1
512,37,4.9556234831761286,1
513,153,7.7766107630276275,1
515,456,7.194752971371111,1
516,132,3.960665644295573,1
506,517,2.030004587382001,69
506,518,2.030004587382001,317
509,235,7.592791096763935,1
512,432,4.964997417252902,1
513,474,8.19793896405151,1
515,241,7.293403297701853,1
516,519,4.725286315780133,7
516,520,4.725286315780133,5
517,19,2.330406741446867,1
518,45,2.045941175174095,1
509,161,8.350148442655504,1
512,34,5.657838730565659,1
513,469,9.124742331947173,1
515,238,7.738790875112755,1
519,472,5.499388604090664,1
520,226,4.938912128721323,1
520,240,4.938912128721323,1
520,229,4.938912128721323,1
520,242,4.938912128721323,1
520,249,4.938912128721323,1
517,481,2.365275994129961,1
518,252,2.113947122608221,1
509,150,8.370328341975585,1
512,188,6.547073034662562,1
513,165,9.83898503627511,1
513,466,9.83898503627511,1
513,169,9.83898503627511,1
513,39,9.83898503627511,1
513,158,9.83898503627511,1
515,246,8.372710654079178,1
515,225,8.372710654079178,1
515,457,8.372710654079178,1
515,237,8.372710654079178,1
515,230,8.372710654079178,1
519,148,5.604638753036878,1
517,433,2.9302898496673575,1
518,79,2.1160955238105124,1
509,157,8.412731268215207,1
512,333,8.37532316340536,1
519,13,7.63233177652415,1
519,146,7.63233177652415,1
519,143,7.63233177652415,1
519,147,7.63233177652415,1
519,138,7.63233177652415,1
517,350,2.9618397607334095,1
518,521,2.1325499590455625,152
518,522,2.1325499590455625,162
509,173,9.083699657037148,1
509,155,9.083699657037148,1
509,248,9.083699657037148,1
509,154,9.083699657037148,1
509,174,9.083699657037148,1
512,92,8.381336109515253,1
517,353,3.017051544378285,1
521,185,2.1325499590455625,1
522,357,2.159253879374451,1
512,342,8.625522224040123,1
517,250,3.0606714164715867,1
521,523,2.1560824105179495,124
521,524,2.1560824105179495,27
522,61,2.1744179965030885,1
512,9,9.301974981813315,1
517,274,3.0616801384400616,1
517,448,3.0616801384400616,1
523,525,2.196247547828607,14
523,526,2.196247547828607,110
524,346,2.3029500801681424,1
522,130,2.1750269650026257,1
512,83,9.305216730081591,1
517,378,3.1134491425445225,1
525,473,2.2688926280452932,1
526,403,2.2109810798364284,1
524,1,2.376116531064288,1
522,76,2.247310133624269,1
512,427,9.305216730081591,1
517,527,3.266927710399931,22
517,528,3.266927710399931,38
525,48,2.570154660194535,1
526,529,2.5055009019089,26
526,530,2.5055009019089,83
524,170,2.909439710251039,1
522,331,2.2521222771873393,1
512,354,11.421571252730992,1
512,443,11.421571252730992,1
512,46,11.421571252730992,1
512,21,11.421571252730992,1
512,23,11.421571252730992,1
527,255,3.266927710399931,1
528,531,3.2916363230199273,12
528,532,3.2916363230199273,26
525,31,3.2739908126351107,1
529,533,2.5138384672864382,14
529,534,2.5138384672864382,12
530,295,2.6981933171798183,1
524,365,2.95308212288356,1
522,140,2.264233335872009,1
527,55,3.272135307811102,1
531,483,3.2916363230199273,1
532,257,3.3935984759962126,1
525,49,3.5220738620867746,1
533,418,3.0978853182257606,1
534,310,2.6464135758206266,1
534,402,2.6464135758206266,1
534,27,2.6464135758206266,1
534,413,2.6464135758206266,1
530,297,2.7132552056632315,1
524,373,2.990800603332815,1
522,535,2.270448891936319,23
522,536,2.270448891936319,133
527,499,3.463622114626702,1
531,340,3.518591762142853,1
532,68,3.422707415682545,1
525,236,3.8684758664596277,1
533,417,3.9000106236464265,1
534,11,2.9735762204115987,1
530,214,2.7422869350748194,1
524,537,3.006190880697084,15
524,538,3.006190880697084,7
535,136,3.0271827831682603,1
536,372,2.310720741331248,1
527,364,3.503349677573143,1
531,399,3.597030621428636,1
532,367,3.422707415682545,1
525,446,4.702202717999838,1
533,420,3.905456780851136,1
534,163,3.023407219301187,1
530,278,3.0026712699871845,1
537,539,3.0574574047547176,6
537,540,3.0574574047547176,9
538,196,3.006190880697084,1
535,16,3.212037774474575,1
536,541,2.364008597713377,34
536,542,2.364008597713377,98
527,493,3.656165259107905,1
531,270,4.2470536715222025,1
532,82,3.4609679639056954,1
525,28,5.303460487678696,1
533,320,3.968484541999411,1
534,351,3.0749226583304545,1
530,543,3.1112773615831952,6
530,544,3.1112773615831952,73
539,396,3.58084553270942,1
540,178,3.5655801998625756,1
538,359,3.1878805371940735,1
535,545,3.2326865207459345,13
535,546,3.2326865207459345,8
541,129,2.5809219070271032,1
542,370,2.401338975441927,1
527,490,3.761247423757573,1
531,388,4.35501504450651,1
532,268,3.8474500280015826,1
525,38,5.625506379454557,1
533,303,4.538538538554673,1
534,362,3.4232614908993333,1
534,406,3.4232614908993333,1
534,30,3.4232614908993333,1
534,408,3.4232614908993333,1
534,29,3.4232614908993333,1
543,301,3.335694845097021,1
544,312,3.2080799312827377,1
539,8,4.446123181988742,1
539,186,4.446123181988742,1
539,376,4.446123181988742,1
539,18,4.446123181988742,1
539,387,4.446123181988742,1
540,193,3.9021493615188345,1
538,422,3.5870858581713887,1
538,371,3.5870858581713887,1
538,414,3.5870858581713887,1
538,366,3.5870858581713887,1
538,360,3.5870858581713887,1
545,348,3.2326865207459345,1
546,96,3.2326865207459345,1
541,547,2.7744048469336042,26
541,548,2.7744048469336042,7
542,549,2.4181788088275806,35
542,550,2.4181788088275806,62
527,475,3.970862741582701,1
531,62,4.42743918376534,1
532,551,3.8685191595981854,10
532,552,3.8685191595981854,11
525,44,6.370985036839422,1
533,302,4.538538538554673,1
543,304,3.662055357990294,1
543,300,3.662055357990294,1
543,323,3.662055357990294,1
543,307,3.662055357990294,1
543,315,3.662055357990294,1
544,553,3.2853887894082012,61
544,554,3.2853887894082012,11
540,444,4.089852320429973,1
545,445,3.324658323413029,1
546,177,3.314770862656335,1
547,17,2.7744048469336042,1
548,24,2.9223158227003276,1
549,103,2.4181788088275806,1
550,40,2.4429008498416422,1
527,479,5.239878144100876,1
531,375,4.770225984367751,1
551,258,4.118699240404014,1
552,441,3.8685191595981854,1
525,26,6.948544247139855,1
525,460,6.948544247139855,1
525,172,6.948544247139855,1
525,355,6.948544247139855,1
525,33,6.948544247139855,1
533,285,4.8903655081338675,1
553,462,3.2853887894082012,1
554,451,3.796920947202993,1
540,384,4.275569019678865,1
545,341,3.332955996816484,1
546,183,3.3640078589266094,1
547,452,2.792473363244247,1
548,381,5.445252184378739,1
549,555,2.923047592049666,10
549,556,2.923047592049666,24
550,72,2.4587370314042394,1
527,478,6.698181247230569,1
531,260,4.77696157857976,1
531,253,4.77696157857976,1
