book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,6.9B,1,10.149997,4.6933727,8.236294,5.4612045,0.6846705,6.357153,2.6983638
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,6.9B,18,10.268909,6.978026,9.726678,6.6356654,-1.6924673,4.9355516,2.2393486
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,6.9B,26,11.256717,7.627285,9.528361,7.1767564,-1.8122847,5.769123,2.4740372
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,6.9B,-1,10.339946,6.650868,10.075996,6.8698626,-1.2090158,5.29778,1.9313776
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,6.9B,-1,11.114013,7.6136055,9.700954,7.1869583,-1.8616045,5.5803022,2.2576127
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,6.9B,26,11.224853,7.9381433,9.575832,7.203441,-1.95316,5.641228,2.4717176
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,6.9B,5,10.654202,8.534314,9.018737,6.8852634,-1.375846,5.0535483,2.9925869
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,6.9B,27,11.169096,8.923525,9.261065,7.360521,-2.243645,5.6098475,2.8356576
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,6.9B,0,9.553961,5.816811,9.127282,6.446815,-0.6023611,5.3126593,2.8601234
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,6.9B,1,10.165182,4.6631145,8.274148,5.4366827,0.73142785,6.39656,2.6501768
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/6.9B/Adventure/The_Cruise_of_the_Snark.pkl,Pythia,6.9B,-1,10.656014,9.006463,9.010074,7.0700564,-1.9389739,5.077388,2.9624264
