book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,12B,3,9.893238,7.533274,-0.5226345,-0.4805059,10.079677,5.3025284,3.950829
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,12B,-1,9.908682,9.512543,-1.3919086,0.35990322,11.921834,5.4701524,1.9940151
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,12B,20,10.88392,11.011142,-1.0889057,0.48759586,12.014633,4.5774617,2.52202
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,12B,25,10.00511,9.843735,-1.6970559,0.9835262,11.933512,5.5746813,2.4436958
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,12B,-1,10.670326,10.823792,-1.2891335,0.63696367,12.022115,4.781981,2.367894
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,12B,20,10.955058,11.076767,-1.0725602,0.44474718,12.069238,4.5670433,2.3919928
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,12B,-1,10.185932,11.668848,-0.77873033,0.14593396,11.543366,4.7226486,1.8932546
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,12B,21,10.66446,12.171704,-0.97470754,0.24992906,12.312268,4.1866684,1.9441576
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,12B,12,9.543009,8.88099,-0.73759645,0.2848452,11.2211,5.2545214,2.5398126
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/12B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,12B,3,9.850315,7.5218005,-0.50428784,-0.48046395,10.033207,5.3283854,3.9720905
