parent,child,lambda_val,child_size
500,501,1.250507475236557,126
500,502,1.250507475236557,374
501,403,1.538490534343385,1
502,503,1.3049513314031924,97
502,504,1.3049513314031924,277
501,402,1.782334201479063,1
503,223,1.4805150608125346,1
504,206,1.3717766562670801,1
501,413,1.8174162207747315,1
503,221,1.6932554805609559,1
504,129,1.6392738193499425,1
501,214,1.8844466640342556,1
503,358,1.8298158641743978,1
504,495,1.7042639785873515,1
501,505,1.8973480977368786,11
501,506,1.8973480977368786,111
503,507,1.8590332169149488,30
503,508,1.8590332169149488,64
504,179,1.7794936217732071,1
505,293,2.812366677358688,1
506,509,2.0041831038727045,71
506,510,2.0041831038727045,40
507,346,1.890211555219993,1
508,152,2.0403559892012963,1
504,252,1.7794936217732071,1
505,451,2.8391905832987,1
509,27,2.523246780388414,1
510,32,2.0113356861681844,1
507,42,1.9174956036666007,1
508,511,2.7932055483003695,26
508,512,2.7932055483003695,37
504,406,1.78858899418116,1
505,455,3.637399841657452,1
509,462,2.6562193034269197,1
510,310,2.165032223633186,1
507,369,2.0615771813927393,1
511,144,2.7932055483003695,1
512,361,2.90690104455025,1
504,452,1.841655463754974,1
505,471,4.434282810875087,1
509,202,2.6992422358718966,1
510,405,2.2979778449412294,1
507,513,2.353377720490093,9
507,514,2.353377720490093,18
511,171,2.9039474978037774,1
512,166,3.499278295520938,1
504,389,1.855946728916817,1
505,468,5.206419239139629,1
509,297,2.751541622410289,1
510,515,2.869005634958541,15
510,516,2.869005634958541,22
513,35,2.9653263165989756,1
514,34,3.086694714999595,1
511,226,3.1852038515023526,1
512,167,3.571534231752521,1
504,50,1.9470642098146462,1
505,454,6.261097742406689,1
509,312,2.9402259569907794,1
515,47,2.9324609868850864,1
516,517,3.466723698744073,7
516,518,3.466723698744073,15
513,211,3.239164454496923,1
514,162,4.487306357869831,1
511,151,3.683910847987194,1
512,519,3.715159593762215,16
512,520,3.715159593762215,18
504,435,1.976921608851458,1
505,463,7.440220730682405,1
505,461,7.440220730682405,1
505,453,7.440220730682405,1
505,458,7.440220730682405,1
505,459,7.440220730682405,1
509,521,3.086721257370205,57
509,522,3.086721257370205,9
515,236,3.511027396129338,1
517,424,3.705008182732866,1
518,302,3.91834454963122,1
513,438,5.090303042335765,1
514,37,5.0527056986412004,1
511,228,3.9309652713716736,1
519,456,3.715159593762215,1
520,457,5.074693537162413,1
520,238,5.074693537162413,1
520,230,5.074693537162413,1
520,237,5.074693537162413,1
504,357,2.149265033427001,1
521,224,3.086721257370205,1
522,218,3.5886654296471634,1
522,217,3.5886654296471634,1
515,473,3.6034931815541666,1
517,423,6.653206114594818,1
518,43,4.017802894429936,1
513,326,8.563879509609462,1
514,333,6.0162259891527725,1
511,145,3.9560093048096,1
519,132,3.9051511441714943,1
520,241,5.074693537162413,1
504,149,2.1605307663255373,1
521,278,3.205913316323959,1
522,210,4.01529673667469,1
515,33,4.328092306963708,1
517,411,10.218016364518155,1
517,401,10.218016364518155,1
517,421,10.218016364518155,1
517,410,10.218016364518155,1
517,419,10.218016364518155,1
518,285,4.09700021653338,1
513,168,8.801547119119714,1
513,356,8.801547119119714,1
513,439,8.801547119119714,1
513,440,8.801547119119714,1
513,447,8.801547119119714,1
514,432,6.35410072064102,1
511,41,4.559566231157222,1
511,431,4.559566231157222,1
511,150,4.559566231157222,1
511,160,4.559566231157222,1
519,244,4.123874690653481,1
519,137,4.123874690653481,1
519,227,4.123874690653481,1
520,247,5.570125873543135,1
520,246,5.570125873543135,1
520,225,5.570125873543135,1
