book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,1.4B,8,-5.7974963,2.386738,8.799325,9.649551,1.1462811,0.40479672,1.9826045
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,1.4B,19,-7.9936657,1.166668,8.633214,10.30115,1.4969215,-1.0792611,1.7630291
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,1.4B,6,-6.78834,2.0757296,8.780287,9.420995,0.925421,-1.1535776,2.1795523
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,1.4B,23,-8.443341,1.3761483,8.906255,10.1980295,1.5550911,-1.4164376,1.6286869
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,1.4B,-1,-7.3505077,1.6737034,9.043834,10.061626,0.6462255,-1.3927786,2.1203308
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,1.4B,6,-6.845644,1.6115212,8.699795,9.619933,0.80122584,-1.2284915,2.2513757
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,1.4B,6,-5.970627,0.85878444,8.562842,9.82176,0.6746321,-0.643566,2.7396717
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,1.4B,6,-6.7369585,1.2550455,8.573925,9.582139,0.47595963,-1.287101,2.4456868
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,1.4B,16,-5.9979663,1.557099,8.2039175,9.731394,1.3749334,-0.5035737,2.592777
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/1.4B/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,1.4B,8,-5.6271067,2.7862756,8.870842,9.316999,1.2420326,0.6934198,1.873598
