book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,70M,23,6.3738165,-3.4912543,7.7457647,4.1626234,2.2824745,7.190484,10.255851
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,70M,27,6.4884343,-2.904558,7.6403747,4.5914335,2.0753276,7.0752215,9.910903
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,70M,-1,5.2188206,-2.54568,6.748783,4.314948,1.7494699,7.681715,10.60381
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,70M,24,6.1290936,-5.044429,7.5148544,4.5939927,2.0044084,7.116274,11.626322
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,70M,-1,5.6562767,-2.3275187,7.352185,4.4773583,1.4537812,7.1748533,11.168415
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,70M,17,4.8062115,-3.8861024,6.714219,3.9542015,1.9042696,7.611518,10.820779
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,70M,16,5.453436,-3.429358,7.037338,3.65753,2.1394866,7.4704123,10.33427
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,70M,-1,4.520634,-5.32439,7.039403,3.85202,1.4475156,7.9539113,11.632528
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,70M,16,5.1451726,-3.4796085,6.7261157,3.6724575,2.1244,7.3902445,10.35306
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,70M,27,6.9699736,-3.2917876,8.113482,4.5653358,2.206645,6.7593684,10.1943865
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Cruise_of_the_Snark.pkl,Pythia,70M,-1,5.1769342,-3.6222596,6.9365206,3.5323646,2.0470295,7.541927,10.55166
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Pythia,70M,16,5.352099,-3.4127896,6.708812,3.7004871,2.0986395,7.356905,10.361453
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Pythia,70M,16,4.996294,-3.6418476,6.7436604,3.8269827,2.0779183,7.5207186,10.487391
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Pythia,70M,6,4.9850154,-1.3814871,6.608103,4.9122534,1.0101515,7.8425856,8.849465
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Pythia,70M,14,5.654702,-3.1825821,6.998391,3.9303281,2.2068043,7.410045,10.121183
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Pythia,70M,14,5.74555,-3.120129,7.1268086,3.861476,2.2971609,7.263675,9.956381
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Pythia,70M,23,6.5577946,-4.060727,7.856773,4.4028883,2.3534932,7.128156,10.742342
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Pythia,70M,17,4.9874883,-4.244454,6.964988,3.7499783,1.8908229,7.615407,11.2088585
The Swiss Family Robinson; or Adventures in a Desert Island by Johann David Wyss,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_Swiss_Family_Robinson__or_Adventures_in_a_Desert_Island_by_Johann_David_Wyss.pkl,Pythia,70M,16,5.2969055,-3.5252695,6.7540226,3.7265139,2.083202,7.3793917,10.347942
The call of the wild by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_call_of_the_wild_by_Jack_London.pkl,Pythia,70M,20,4.6068754,-6.1728454,7.2349753,3.668939,1.2488629,7.8713865,12.092274
The prisoner of Zenda by Anthony Hope,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_prisoner_of_Zenda_by_Anthony_Hope.pkl,Pythia,70M,-1,6.1190495,-5.553323,7.637795,4.256846,1.9453226,7.1642795,11.906441
The three musketeers by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/70M/Adventure/The_three_musketeers_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,70M,27,6.7572083,-3.029283,7.8757386,4.7206078,2.1283882,6.9017506,9.966298
