parent,child,lambda_val,child_size
500,473,1.154661395938568,1
500,501,1.2473032614512618,81
500,502,1.2473032614512618,418
501,318,2.8510474058111304,1
502,236,1.327596821982274,1
502,355,1.327596821982274,1
502,162,1.327596821982274,1
501,471,3.2144798728200725,1
502,348,1.6554411693006439,1
501,503,3.251258810714008,13
501,504,3.251258810714008,66
502,73,1.6948438443340175,1
503,464,5.398562875066601,1
504,358,3.593878131674086,1
502,505,1.7692631947307216,319
502,506,1.7692631947307216,94
503,462,6.427777092161832,1
504,329,3.6012697897831063,1
505,4,1.8041757048631553,1
506,27,2.1300879414383704,1
503,460,7.198950383656373,1
504,244,3.6012697897831063,1
505,76,1.8153606184450315,1
506,414,2.4399120417513456,1
503,33,7.329425582490746,1
504,361,3.686095451811757,1
505,45,1.9406305978186906,1
506,366,2.7686809800537375,1
503,451,9.718891666147046,1
504,144,3.74085774163026,1
505,133,1.9600944569672292,1
506,507,2.821361752396454,55
506,508,2.821361752396454,36
503,455,12.555551063247837,1
504,132,3.7819187049292586,1
505,422,1.9859281428106428,1
507,216,3.0195008279341717,1
508,509,4.25252342012562,20
508,510,4.25252342012562,16
503,458,17.654436075637125,1
504,237,3.90275928152849,1
505,511,2.0119781532532217,5
505,512,2.0119781532532217,309
507,403,3.1517786510818553,1
509,513,5.45137774937029,10
509,514,5.45137774937029,10
510,293,4.25252342012562,1
503,463,18.813353410878204,1
504,34,3.9162962778964614,1
511,336,23.44216603750496,1
511,363,23.44216603750496,1
511,338,23.44216603750496,1
511,337,23.44216603750496,1
511,327,23.44216603750496,1
512,360,2.0288457868183367,1
507,373,3.3593354212389417,1
507,371,3.3593354212389417,1
507,408,3.3593354212389417,1
513,36,5.45137774937029,1
514,298,6.3724847356889205,1
510,283,5.688515115155664,1
503,453,20.323290719940484,1
503,459,20.323290719940484,1
503,468,20.323290719940484,1
503,461,20.323290719940484,1
503,454,20.323290719940484,1
504,156,4.042639586748158,1
512,515,2.0667405438990083,57
512,516,2.0667405438990083,251
507,314,3.4096278825351574,1
513,279,6.4733459443057795,1
514,277,9.405720613770244,1
510,324,5.878006679060359,1
504,517,4.046619870638363,6
504,518,4.046619870638363,51
515,2,2.228845618001247,1
516,322,2.105797118637713,1
507,295,4.005725627143162,1
513,276,7.217537424761292,1
514,275,10.139786044482154,1
510,301,6.42961989677436,1
517,230,4.142285672918957,1
518,519,4.124748877365671,32
518,520,4.124748877365671,19
515,67,2.4869662881286603,1
516,188,2.1097669107054613,1
507,419,4.125598688727646,1
513,280,7.314518386576299,1
514,286,11.08240605703991,1
510,521,6.767967945449005,5
510,522,6.767967945449005,7
517,238,4.2741116883416455,1
517,206,4.2741116883416455,1
517,214,4.2741116883416455,1
517,221,4.2741116883416455,1
517,223,4.2741116883416455,1
519,523,4.348690765437702,6
519,524,4.348690765437702,26
520,164,4.124748877365671,1
515,127,2.499752010199542,1
516,441,2.1145904297308467,1
507,525,4.344886009839392,20
507,526,4.344886009839392,27
513,296,9.132384297192482,1
514,278,11.284643411320255,1
521,312,7.32729607173766,1
521,310,7.32729607173766,1
521,315,7.32729607173766,1
521,307,7.32729607173766,1
521,323,7.32729607173766,1
522,297,7.932305416703067,1
523,233,4.899693703721507,1
524,235,5.419252391394839,1
520,226,4.385763630693792,1
515,390,2.5466441771974027,1
516,527,2.1959851918596534,5
516,528,2.1959851918596534,243
525,411,4.344886009839392,1
526,529,4.940513806651753,13
526,530,4.940513806651753,14
513,288,9.430028867537269,1
513,292,9.430028867537269,1
513,313,9.430028867537269,1
513,290,9.430028867537269,1
513,449,9.430028867537269,1
514,299,14.064478347582734,1
514,287,14.064478347582734,1
514,289,14.064478347582734,1
514,281,14.064478347582734,1
514,282,14.064478347582734,1
522,316,7.932305416703067,1
523,234,5.205698632897484,1
523,231,5.205698632897484,1
523,243,5.205698632897484,1
523,228,5.205698632897484,1
523,245,5.205698632897484,1
524,160,5.541196088756633,1
520,225,4.398261987435382,1
515,379,2.5749841262199267,1
527,42,2.777838578288653,1
527,359,2.777838578288653,1
527,25,2.777838578288653,1
527,35,2.777838578288653,1
527,362,2.777838578288653,1
528,22,2.238719688841891,1
525,423,4.344886009839392,1
529,205,5.2982845266506216,1
530,222,4.940513806651753,1
522,319,7.932305416703067,1
522,321,7.932305416703067,1
522,304,7.932305416703067,1
522,309,7.932305416703067,1
522,311,7.932305416703067,1
524,531,6.5818657505316285,14
524,532,6.5818657505316285,10
520,456,4.398261987435382,1
515,190,2.683619414856328,1
528,139,2.2673508537365006,1
525,418,4.730477333091046,1
529,224,5.437839195472835,1
530,533,5.237203713920315,8
530,534,5.237203713920315,5
531,169,6.5818657505316285,1
532,163,6.58276946695539,1
532,166,6.58276946695539,1
520,227,5.380158205807216,1
520,247,5.380158205807216,1
515,10,2.786620278629368,1
528,94,2.2738048893586926,1
525,421,4.7642399820009205,1
529,308,5.659448785865041,1
533,210,6.746869454989911,1
534,305,5.326248668811949,1
534,200,5.326248668811949,1
534,212,5.326248668811949,1
534,306,5.326248668811949,1
534,201,5.326248668811949,1
531,173,6.744405730424707,1
532,39,7.193839951082365,1
520,249,5.380158205807216,1
515,475,2.8720058619692805,1
528,325,2.3453680674706305,1
525,413,5.5099659818838065,1
529,535,5.681458132738187,5
529,536,5.681458132738187,5
533,219,8.457206276011513,1
531,150,6.848646036719672,1
532,469,7.828583245334446,1
520,240,5.586036742270434,1
515,382,2.8947351352136885,1
528,53,2.36358150709368,1
525,415,6.156005238732583,1
535,209,5.681458132738187,1
535,317,5.681458132738187,1
535,208,5.681458132738187,1
535,213,5.681458132738187,1
535,300,5.681458132738187,1
536,410,5.793798105594298,1
536,202,5.793798105594298,1
536,218,5.793798105594298,1
536,401,5.793798105594298,1
536,217,5.793798105594298,1
533,424,13.126053388530922,1
531,167,6.948953035500769,1
532,165,7.828583245334446,1
520,229,6.091970395301162,1
515,395,2.8947351352136885,1
528,340,2.3728149037996906,1
525,294,6.307168122424217,1
533,220,14.079417838087027,1
533,204,14.079417838087027,1
533,207,14.079417838087027,1
533,203,14.079417838087027,1
533,215,14.079417838087027,1
531,248,7.206238835243289,1
532,466,8.869816450248,1
532,152,8.869816450248,1
532,474,8.869816450248,1
532,153,8.869816450248,1
532,158,8.869816450248,1
520,242,6.6392204120758125,1
515,537,2.91838279967906,14
515,538,2.91838279967906,33
528,262,2.379836234841397,1
525,285,6.70219634852433,1
531,431,7.362553566072565,1
520,246,6.6392204120758125,1
537,130,2.9737732559191064,1
538,142,3.0302718364924353,1
528,539,2.388261481038207,5
528,540,2.388261481038207,231
525,302,7.192036806679535,1
531,159,7.44450265437022,1
520,472,6.848930556655498,1
537,14,3.3057664739820303,1
538,183,3.055335418068614,1
538,125,3.055335418068614,1
539,268,2.579785375949934,1
539,378,2.579785375949934,1
539,291,2.579785375949934,1
539,270,2.579785375949934,1
539,271,2.579785375949934,1
540,7,2.406202895062782,1
525,417,7.413664227322799,1
531,171,8.010562518351799,1
520,148,6.848930556655498,1
537,15,3.5810328786628287,1
538,397,3.055335418068614,1
540,331,2.413628037354653,1
525,320,8.054129544854451,1
525,409,8.054129544854451,1
525,303,8.054129544854451,1
525,43,8.054129544854451,1
531,157,8.262089616079214,1
520,241,8.018934736807864,1
537,467,4.04875706333433,1
538,128,3.101909230446832,1
540,349,2.42929676114449,1
525,420,8.5645433997574,1
