parent,child,lambda_val,child_size
500,501,1.1671190188530598,70
500,502,1.1671190188530598,430
501,472,2.0687041345402206,1
502,435,1.488860194203607,1
501,358,2.6657577136423574,1
502,503,1.5198280248420686,12
502,504,1.5198280248420686,417
501,505,2.817955761061611,45
501,506,2.817955761061611,23
503,293,2.082318815526247,1
504,180,1.6698860543860452,1
505,167,2.817955761061611,1
506,464,3.4777374208815623,1
503,451,3.5536421637764377,1
504,71,1.733941519403772,1
505,507,2.905489008595494,11
505,508,2.905489008595494,33
506,228,3.56563096820528,1
503,471,3.7857230984381314,1
504,22,1.7714432779835618,1
507,164,3.4630567758916455,1
508,233,2.905489008595494,1
506,231,3.8834816184483345,1
503,462,5.1672857317773255,1
504,252,1.7795271435124906,1
507,169,8.721221600885496,1
508,509,2.9075799300198804,6
508,510,2.9075799300198804,26
506,236,3.9321452653019944,1
503,455,6.002413497767425,1
504,511,1.8028033794938927,383
504,512,1.8028033794938927,30
507,153,10.084057452296305,1
509,329,4.557048349519696,1
510,456,3.573015344185153,1
506,243,4.493532175486051,1
503,461,10.695239775258921,1
511,126,1.8028033794938927,1
512,346,1.84590391260571,1
507,166,12.991372992557023,1
509,144,5.087616199708051,1
509,244,5.087616199708051,1
509,137,5.087616199708051,1
509,457,5.087616199708051,1
509,361,5.087616199708051,1
510,403,3.5879741585928966,1
506,160,4.577402748929622,1
503,454,13.623277675742104,1
511,190,1.8220928962673644,1
512,429,1.952512606850727,1
507,152,16.675273721393975,1
510,247,3.658596720845048,1
506,318,4.6529817694527775,1
503,468,15.46321211545986,1
503,453,15.46321211545986,1
503,463,15.46321211545986,1
503,458,15.46321211545986,1
503,459,15.46321211545986,1
511,513,1.9265664273190348,5
511,514,1.9265664273190348,376
512,178,1.9716663005745527,1
507,158,21.60232448582229,1
510,515,3.7729840706490796,6
510,516,3.7729840706490796,17
506,234,4.87887299338843,1
506,245,4.87887299338843,1
513,338,24.55846100131696,1
513,327,24.55846100131696,1
513,363,24.55846100131696,1
513,336,24.55846100131696,1
513,337,24.55846100131696,1
514,397,1.9323234059127872,1
512,35,2.2340234821754987,1
507,469,23.96579977965786,1
507,474,23.96579977965786,1
507,165,23.96579977965786,1
507,466,23.96579977965786,1
507,39,23.96579977965786,1
515,227,3.7729840706490796,1
516,226,4.932015505651773,1
506,431,5.000260367354099,1
514,517,1.9324202711686917,279
514,518,1.9324202711686917,96
512,162,2.3318176804174677,1
515,225,5.801560572546578,1
515,214,5.801560572546578,1
515,206,5.801560572546578,1
515,223,5.801560572546578,1
515,221,5.801560572546578,1
516,132,4.984871363073944,1
506,150,5.8512278602071985,1
517,331,1.941957993822906,1
518,406,2.0204664377820536,1
512,369,2.404279346583523,1
516,246,5.600456461316326,1
506,157,5.8512278602071985,1
517,390,1.9866209967531931,1
518,310,2.1126638796986956,1
512,41,2.843923665493871,1
516,238,5.947477978351895,1
506,248,6.223726834720291,1
506,235,6.223726834720291,1
517,19,2.053803268216116,1
518,34,2.1598266124713894,1
512,519,3.029354034526069,15
512,520,3.029354034526069,8
516,242,6.118569485021536,1
516,249,6.118569485021536,1
516,240,6.118569485021536,1
516,229,6.118569485021536,1
506,161,6.9250862798859645,1
517,521,2.062751399532811,30
517,522,2.062751399532811,246
518,294,2.350683487550693,1
519,333,3.2021234697435874,1
520,211,4.091715834161048,1
516,241,6.376707756689202,1
516,148,6.376707756689202,1
516,230,6.376707756689202,1
506,171,6.989463289454669,1
521,193,2.2473266922042643,1
522,30,2.0681597133460903,1
518,523,2.5158318842597422,5
518,524,2.5158318842597422,87
519,0,3.451962087165867,1
520,438,4.408252150389443,1
516,237,6.376707756689202,1
506,156,8.10871014777683,1
521,145,2.355003749115329,1
522,340,2.0767377892978196,1
523,408,3.042120729945344,1
523,373,3.042120729945344,1
523,29,3.042120729945344,1
523,366,3.042120729945344,1
523,371,3.042120729945344,1
524,525,2.6290033843915364,52
524,526,2.6290033843915364,35
519,432,4.177264146422979,1
520,439,4.6964315317061285,1
516,138,6.765341940160876,1
516,13,6.765341940160876,1
516,143,6.765341940160876,1
516,146,6.765341940160876,1
516,147,6.765341940160876,1
506,174,9.14327595393956,1
521,42,2.8557294864227147,1
522,445,2.144070124600444,1
525,163,2.6924230161178864,1
526,527,3.05839168743566,17
526,528,3.05839168743566,18
519,92,4.946704171337457,1
520,326,7.421590892312531,1
520,356,7.421590892312531,1
520,440,7.421590892312531,1
520,168,7.421590892312531,1
520,447,7.421590892312531,1
506,155,9.164445532154529,1
506,173,9.164445532154529,1
506,159,9.164445532154529,1
506,151,9.164445532154529,1
506,154,9.164445532154529,1
521,365,2.8557294864227147,1
522,179,2.1907673898994555,1
525,323,2.953597502013966,1
525,304,2.953597502013966,1
525,315,2.953597502013966,1
525,307,2.953597502013966,1
527,202,3.419787471252391,1
528,413,3.830429085233187,1
519,342,4.990872322692716,1
521,529,3.115888655626316,17
521,530,3.115888655626316,9
522,531,2.2019526943289467,15
522,532,2.2019526943289467,227
525,311,3.280955566484207,1
527,533,3.458127609821406,8
527,534,3.458127609821406,8
528,473,3.8910231958583643,1
519,37,5.615021609332653,1
529,360,3.1162975116550475,1
530,129,3.115888655626316,1
531,367,2.2019526943289467,1
532,380,2.2437385913740684,1
525,308,3.2951152843623808,1
533,218,3.695678712808036,1
534,210,7.159055043017498,1
528,402,4.875934958431609,1
519,188,6.564245329479158,1
529,535,3.2956115399982124,8
529,536,3.2956115399982124,8
530,384,3.7601923480815103,1
531,47,2.463948850055208,1
532,94,2.2450986355921345,1
525,312,3.3490286350784007,1
533,401,3.8743918843762137,1
534,424,10.459277392374842,1
528,302,4.878955799702814,1
519,427,6.973112652272799,1
535,414,3.418072201766187,1
536,196,3.2956115399982124,1
530,444,3.7710699398436303,1
531,32,2.5463854558590677,1
532,495,2.255688801533741,1
525,449,3.378962762808601,1
533,421,5.136752433249019,1
534,207,11.717637131079146,1
528,27,4.9558820763188685,1
519,46,8.839755503338518,1
535,25,3.4512325963397763,1
536,64,3.473624376071131,1
530,199,3.7710699398436303,1
531,31,2.7849331692875428,1
532,268,2.2634665026786194,1
525,319,3.6418687017177223,1
533,217,6.480894971566891,1
533,410,6.480894971566891,1
533,419,6.480894971566891,1
533,423,6.480894971566891,1
533,411,6.480894971566891,1
534,204,11.972471387569293,1
534,219,11.972471387569293,1
534,203,11.972471387569293,1
534,215,11.972471387569293,1
534,220,11.972471387569293,1
528,320,6.4418894624276115,1
519,83,10.610626485275702,1
535,362,3.75277857652694,1
536,396,3.698301360167419,1
530,467,8.126387332693183,1
530,15,8.126387332693183,1
530,1,8.126387332693183,1
530,14,8.126387332693183,1
530,470,8.126387332693183,1
531,460,2.977539203911619,1
532,448,2.2647793838277614,1
525,292,3.7599555843276335,1
528,409,7.057978354343968,1
519,9,10.610626485275702,1
519,354,10.610626485275702,1
519,443,10.610626485275702,1
519,23,10.610626485275702,1
519,21,10.610626485275702,1
535,11,4.053696710800802,1
535,422,4.053696710800802,1
535,359,4.053696710800802,1
535,351,4.053696710800802,1
535,284,4.053696710800802,1
536,376,4.712835328400718,1
536,18,4.712835328400718,1
536,8,4.712835328400718,1
536,186,4.712835328400718,1
536,387,4.712835328400718,1
531,48,3.5273656581743125,1
532,372,2.2979155449929505,1
525,295,3.8435691372849172,1
528,303,7.07268793654884,1
531,446,3.8175408003205447,1
532,452,2.3167646930435972,1
525,300,3.9481836629043316,1
528,400,7.364369797234962,1
531,33,4.918400148062824,1
532,537,2.3698015525124587,5
532,538,2.3698015525124587,215
525,276,4.161515590262518,1
528,43,7.396717274443937,1
528,407,7.396717274443937,1
528,285,7.396717274443937,1
528,415,7.396717274443937,1
531,44,4.957790389706796,1
537,389,2.462599942972651,1
537,183,2.462599942972651,1
537,348,2.462599942972651,1
537,142,2.462599942972651,1
537,96,2.462599942972651,1
538,189,2.3698015525124587,1
525,539,4.2586964062191495,25
525,540,4.2586964062191495,13
528,416,7.396717274443937,1
528,417,7.396717274443937,1
528,412,7.396717274443937,1
528,420,7.396717274443937,1
528,418,7.396717274443937,1
531,38,5.4428585999354535,1
538,442,2.385278342510441,1
538,73,2.385278342510441,1
539,541,4.538468847333857,5
539,542,4.538468847333857,20
540,543,4.2625848599902785,7
540,544,4.2625848599902785,6
531,355,6.691444407449523,1
531,26,6.691444407449523,1
531,28,6.691444407449523,1
531,172,6.691444407449523,1
531,49,6.691444407449523,1
538,184,2.4578015866476464,1
541,224,4.622356929297293,1
541,324,4.622356929297293,1
541,321,4.622356929297293,1
541,316,4.622356929297293,1
541,309,4.622356929297293,1
542,36,4.7127719827313745,1
543,314,5.33355856174102,1
544,205,4.511539042806106,1
538,136,2.5277288494284127,1
542,545,4.753297565853443,12
542,546,4.753297565853443,7
543,305,6.038260235192926,1
544,213,7.789714353285266,1
544,216,7.789714353285266,1
544,209,7.789714353285266,1
544,317,7.789714353285266,1
544,208,7.789714353285266,1
538,547,2.5532452136902473,5
538,548,2.5532452136902473,205
545,298,5.937449269084077,1
546,290,6.09500397441616,1
543,306,8.177556274001242,1
543,201,8.177556274001242,1
543,212,8.177556274001242,1
543,222,8.177556274001242,1
543,200,8.177556274001242,1
547,68,2.5532452136902473,1
547,352,2.5532452136902473,1
547,261,2.5532452136902473,1
547,291,2.5532452136902473,1
547,271,2.5532452136902473,1
548,549,2.5750221376191074,5
548,550,2.5750221376191074,200
545,288,5.997945663406285,1
546,301,7.375558512672198,1
549,379,3.706708990354549,1
549,381,3.706708990354549,1
549,395,3.706708990354549,1
549,382,3.706708990354549,1
549,392,3.706708990354549,1
550,192,2.597251213525628,1
545,279,6.59472788618783,1
546,297,7.4847106793367475,1
546,283,7.4847106793367475,1
546,313,7.4847106793367475,1
546,296,7.4847106793367475,1
546,280,7.4847106793367475,1
550,551,2.610734097486411,144
550,552,2.610734097486411,55
545,282,7.27430944227275,1
551,185,2.6174451613350462,1
552,60,2.610734097486411,1
545,278,8.310349456411586,1
551,553,2.6293536524504715,11
551,554,2.6293536524504715,132
552,253,2.678821990496093,1
545,277,8.564100074388001,1
553,428,2.6293536524504715,1
554,149,2.6727052709963357,1
552,322,2.7035923805383266,1
545,275,8.564100074388001,1
553,344,2.9401231919497364,1
554,67,2.6742749669627415,1
552,76,2.8255625385807015,1
545,299,9.250348488173065,1
545,289,9.250348488173065,1
545,281,9.250348488173065,1
545,287,9.250348488173065,1
545,286,9.250348488173065,1
553,425,3.0017742838622583,1
554,426,2.6785401209898714,1
554,20,2.6785401209898714,1
554,16,2.6785401209898714,1
554,130,2.6785401209898714,1
552,399,2.830983573485787,1
