book_title,genre,pkl_path,model_family,model_size,cluster,umap2_x,umap2_y,umap5_0,umap5_1,umap5_2,umap5_3,umap5_4
Around the World in Eighty Days by Jules Verne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Around_the_World_in_Eighty_Days_by_Jules_Verne.pkl,Pythia,410M,7,6.284877,11.914287,12.399029,5.24411,4.19215,0.79896283,4.32856
Captain Blood by Rafael Sabatini,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Captain_Blood_by_Rafael_Sabatini.pkl,Pythia,410M,11,7.060034,11.841825,12.124674,4.385641,5.2013936,0.9654648,4.006409
Heart of the World by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Heart_of_the_World_by_H__Rider_Haggard.pkl,Pythia,410M,31,7.916151,13.066545,13.133272,4.1996446,4.6391797,1.2566475,3.6164443
Kidnapped by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Kidnapped_by_Robert_Louis_Stevenson.pkl,Pythia,410M,30,6.1123796,13.504252,12.849036,4.117111,5.097112,2.028502,4.4738936
Kim by Rudyard Kipling,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Kim_by_Rudyard_Kipling.pkl,Pythia,410M,27,7.242131,12.57051,12.891701,4.257321,4.6436505,0.9424934,3.7935765
King Solomon's Mines by H. Rider Haggard,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/King_Solomon_s_Mines_by_H__Rider_Haggard.pkl,Pythia,410M,-1,7.913223,13.18825,13.139643,3.8883097,4.671705,1.1594058,3.7700722
"Moby Dick; Or, The Whale by Herman Melville",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Moby_Dick__Or__The_Whale_by_Herman_Melville.pkl,Pythia,410M,27,7.5798326,12.29235,12.553644,4.0602717,4.706998,0.62209207,4.0015187
Tarzan of the Apes by Edgar Rice Burroughs,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Tarzan_of_the_Apes_by_Edgar_Rice_Burroughs.pkl,Pythia,410M,27,7.9946127,13.35774,12.954754,3.518472,4.527976,0.69196916,4.159468
The Coral Island: A Tale of the Pacific Ocean by R. M. Ballantyne,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Coral_Island__A_Tale_of_the_Pacific_Ocean_by_R__M__Ballantyne.pkl,Pythia,410M,16,7.562639,11.852314,12.061465,4.164996,4.980546,0.56108516,4.060158
The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Count_of_Monte_Cristo_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,410M,7,5.8327312,11.775317,12.394188,5.4903917,4.1626105,0.922532,4.262918
The Cruise of the Snark,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Cruise_of_the_Snark.pkl,Pythia,410M,27,7.574772,12.256419,12.495493,4.00862,4.7166047,0.5550544,3.9895203
The Life and Adventures of Robinson Crusoe by Daniel Defoe,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Life_and_Adventures_of_Robinson_Crusoe_by_Daniel_Defoe.pkl,Pythia,410M,15,6.9692554,11.073134,11.596344,4.577879,5.072989,0.69327664,4.2053013
The Lost World by Arthur Conan Doyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Lost_World_by_Arthur_Conan_Doyle.pkl,Pythia,410M,27,7.780008,12.505799,12.652148,3.6521685,4.727144,0.61898696,4.0829377
The Merry Adventures of Robin Hood by Howard Pyle,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Merry_Adventures_of_Robin_Hood_by_Howard_Pyle.pkl,Pythia,410M,6,9.3138,10.987756,13.070333,5.637348,4.586866,0.8374591,2.0393057
"The Pathfinder; Or, The Inland Sea by James Fenimore Cooper",Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Pathfinder__Or__The_Inland_Sea_by_James_Fenimore_Cooper.pkl,Pythia,410M,11,7.115254,11.838605,12.102675,4.3245816,5.213609,0.899989,3.9745147
The Red Rover: A Tale by James Fenimore Cooper,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Red_Rover__A_Tale_by_James_Fenimore_Cooper.pkl,Pythia,410M,11,7.220682,11.688523,12.0762415,4.3572345,5.2094626,0.88704395,3.963691
The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Scarlet_Pimpernel_by_Baroness_Emmuska_Orczy_Orczy.pkl,Pythia,410M,-1,5.8507886,13.055796,12.512287,4.223073,5.0097556,1.8485409,4.6598606
The Sea-Wolf by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Sea_Wolf_by_Jack_London.pkl,Pythia,410M,27,7.5645843,12.794868,12.80175,3.7494051,4.718793,0.8006842,4.053659
The Swiss Family Robinson; or Adventures in a Desert Island by Johann David Wyss,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_Swiss_Family_Robinson__or_Adventures_in_a_Desert_Island_by_Johann_David_Wyss.pkl,Pythia,410M,16,7.4233537,11.576424,11.934736,4.2997684,4.994561,0.55361205,4.072124
The call of the wild by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_call_of_the_wild_by_Jack_London.pkl,Pythia,410M,-1,7.498562,15.059693,13.205769,2.7003934,4.724992,0.995369,5.1026697
The prisoner of Zenda by Anthony Hope,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_prisoner_of_Zenda_by_Anthony_Hope.pkl,Pythia,410M,-1,5.8830624,13.251406,12.557323,4.1345434,4.987764,1.8269347,4.720996
The three musketeers by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/The_three_musketeers_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,410M,7,5.8410754,11.697984,12.447956,5.5411057,4.1391807,0.9772985,4.2712803
Treasure Island by Robert Louis Stevenson,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Treasure_Island_by_Robert_Louis_Stevenson.pkl,Pythia,410M,-1,7.0541563,12.895005,12.7178135,3.9220738,5.0416446,1.3782239,4.191357
Twenty years after by Alexandre Dumas and Auguste Maquet,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/Twenty_years_after_by_Alexandre_Dumas_and_Auguste_Maquet.pkl,Pythia,410M,7,5.756089,11.715869,12.438698,5.5251403,4.121974,0.9425336,4.263261
White Fang by Jack London,Adventure,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Adventure/White_Fang_by_Jack_London.pkl,Pythia,410M,27,7.928333,13.52313,13.039509,3.3606615,4.6533747,0.80787927,4.19522
A Mind That Found Itself: An Autobiography by Clifford Whittingham Beers,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Biographies and Autobiographies/A_Mind_That_Found_Itself__An_Autobiography_by_Clifford_Whittingham_Beers.pkl,Pythia,410M,15,6.39261,11.091433,11.514296,4.7473493,4.9278383,0.75835246,4.50254
"Abraham Lincoln: The True Story of a Great Life, Volume 1 (of 2) by Herndon et al.",Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Biographies and Autobiographies/Abraham_Lincoln__The_True_Story_of_a_Great_Life__Volume_1__of_2__by_Herndon_et_al_.pkl,Pythia,410M,12,4.2885585,11.195113,10.930225,4.6182227,4.918851,0.6588109,5.698671
Autobiography by John Stuart Mill,Biographies and Autobiographies,/home/hj2742/Emergence/outputs_embeddings_all_with_chunks/Pythia/410M/Biographies and Autobiographies/Autobiography_by_John_Stuart_Mill.pkl,Pythia,410M,10,5.615742,9.922652,10.368078,5.3823066,5.172755,0.34560308,4.5371184
